,house_lat,house_long,distance (m),duration (s),travel_mode
0,41.1564238,-8.6249723,2817,2164,walking
1,41.1564238,-8.6249723,2938,2319,walking
2,41.1564238,-8.6249723,1625,1201,walking
3,41.1564238,-8.6249723,2756,2012,walking
4,41.1564238,-8.6249723,1745,1376,walking
5,41.1564238,-8.6249723,759,581,walking
6,41.1564238,-8.6249723,492,416,walking
7,41.1564238,-8.6249723,933,722,walking
8,41.1564238,-8.6249723,2156,1688,walking
9,41.1564238,-8.6249723,2825,2221,walking
10,41.1564238,-8.6249723,3379,2650,walking
11,41.1564238,-8.6249723,4480,3495,walking
12,41.1564238,-8.6249723,4162,3233,walking
13,41.1564238,-8.6249723,2473,1850,walking
14,41.1564238,-8.6249723,2093,1561,walking
15,41.1564238,-8.6249723,1632,1325,walking
16,41.1564238,-8.6249723,2318,1911,walking
17,41.1564238,-8.6249723,3255,2555,walking
18,41.1564238,-8.6249723,3017,2429,walking
19,41.1564238,-8.6249723,3421,2694,walking
20,41.1564238,-8.6249723,685,525,walking
21,41.1427507,-8.6125743,426,359,walking
22,41.1427507,-8.6125743,424,419,walking
23,41.1427507,-8.6125743,3911,3123,walking
24,41.1427507,-8.6125743,5042,3934,walking
25,41.1427507,-8.6125743,1312,1100,walking
26,41.1427507,-8.6125743,3074,2516,walking
27,41.1427507,-8.6125743,2678,2170,walking
28,41.1427507,-8.6125743,2338,1903,walking
29,41.1427507,-8.6125743,1133,929,walking
30,41.1427507,-8.6125743,1503,1235,walking
31,41.1427507,-8.6125743,1891,1508,walking
32,41.1427507,-8.6125743,3593,2833,walking
33,41.1427507,-8.6125743,2780,2120,walking
34,41.1427507,-8.6125743,380,307,walking
35,41.1427507,-8.6125743,838,700,walking
36,41.1427507,-8.6125743,1872,1627,walking
37,41.1427507,-8.6125743,2412,2040,walking
38,41.1427507,-8.6125743,4104,3335,walking
39,41.1427507,-8.6125743,2995,2475,walking
40,41.1427507,-8.6125743,3685,2950,walking
41,41.1427507,-8.6125743,3001,2460,walking
42,41.150854229226546,-8.61149108574201,1103,834,walking
43,41.150854229226546,-8.61149108574201,1224,990,walking
44,41.150854229226546,-8.61149108574201,3088,2301,walking
45,41.150854229226546,-8.61149108574201,4163,3082,walking
46,41.150854229226546,-8.61149108574201,301,244,walking
47,41.150854229226546,-8.61149108574201,2222,1681,walking
48,41.150854229226546,-8.61149108574201,1533,1190,walking
49,41.150854229226546,-8.61149108574201,1193,922,walking
50,41.150854229226546,-8.61149108574201,547,431,walking
51,41.150854229226546,-8.61149108574201,1216,964,walking
52,41.150854229226546,-8.61149108574201,1769,1393,walking
53,41.150854229226546,-8.61149108574201,3189,2495,walking
54,41.150854229226546,-8.61149108574201,2553,1976,walking
55,41.150854229226546,-8.61149108574201,759,521,walking
56,41.150854229226546,-8.61149108574201,269,168,walking
57,41.150854229226546,-8.61149108574201,818,733,walking
58,41.150854229226546,-8.61149108574201,1535,1336,walking
59,41.150854229226546,-8.61149108574201,3050,2441,walking
60,41.150854229226546,-8.61149108574201,2234,1855,walking
61,41.150854229226546,-8.61149108574201,2709,2181,walking
62,41.150854229226546,-8.61149108574201,2149,1625,walking
63,41.16082365636554,-8.712886583743412,13296,10226,walking
64,41.16082365636554,-8.712886583743412,13080,9906,walking
65,41.16082365636554,-8.712886583743412,9674,7455,walking
66,41.16082365636554,-8.712886583743412,8717,6699,walking
67,41.16082365636554,-8.712886583743412,12224,9438,walking
68,41.16082365636554,-8.712886583743412,10336,7960,walking
69,41.16082365636554,-8.712886583743412,10919,8435,walking
70,41.16082365636554,-8.712886583743412,11412,8784,walking
71,41.16082365636554,-8.712886583743412,12635,9750,walking
72,41.16082365636554,-8.712886583743412,13304,10283,walking
73,41.16082365636554,-8.712886583743412,13857,10712,walking
74,41.16082365636554,-8.712886583743412,14761,11310,walking
75,41.16082365636554,-8.712886583743412,14641,11295,walking
76,41.16082365636554,-8.712886583743412,12952,9912,walking
77,41.16082365636554,-8.712886583743412,12571,9623,walking
78,41.16082365636554,-8.712886583743412,12110,9387,walking
79,41.16082365636554,-8.712886583743412,12509,9731,walking
80,41.16082365636554,-8.712886583743412,12389,9600,walking
81,41.16082365636554,-8.712886583743412,13088,10153,walking
82,41.16082365636554,-8.712886583743412,12981,10027,walking
83,41.16082365636554,-8.712886583743412,10263,7904,walking
84,41.20441494400505,-8.713358515794797,12985,9963,walking
85,41.20441494400505,-8.713358515794797,12768,9643,walking
86,41.20441494400505,-8.713358515794797,9363,7193,walking
87,41.20441494400505,-8.713358515794797,8406,6436,walking
88,41.20441494400505,-8.713358515794797,11912,9175,walking
89,41.20441494400505,-8.713358515794797,10025,7697,walking
90,41.20441494400505,-8.713358515794797,10608,8172,walking
91,41.20441494400505,-8.713358515794797,11100,8521,walking
92,41.20441494400505,-8.713358515794797,12324,9487,walking
93,41.20441494400505,-8.713358515794797,12993,10020,walking
94,41.20441494400505,-8.713358515794797,13546,10449,walking
95,41.20441494400505,-8.713358515794797,14449,11047,walking
96,41.20441494400505,-8.713358515794797,14330,11032,walking
97,41.20441494400505,-8.713358515794797,12641,9649,walking
98,41.20441494400505,-8.713358515794797,12260,9360,walking
99,41.20441494400505,-8.713358515794797,11799,9124,walking
100,41.20441494400505,-8.713358515794797,12197,9469,walking
101,41.20441494400505,-8.713358515794797,12078,9337,walking
102,41.20441494400505,-8.713358515794797,12777,9890,walking
103,41.20441494400505,-8.713358515794797,12670,9764,walking
104,41.20441494400505,-8.713358515794797,9952,7641,walking
105,41.1404185646118,-8.613805075155247,865,803,walking
106,41.1404185646118,-8.613805075155247,534,426,walking
107,41.1404185646118,-8.613805075155247,4021,3234,walking
108,41.1404185646118,-8.613805075155247,5152,4045,walking
109,41.1404185646118,-8.613805075155247,1629,1435,walking
110,41.1404185646118,-8.613805075155247,3184,2627,walking
111,41.1404185646118,-8.613805075155247,2653,2216,walking
112,41.1404185646118,-8.613805075155247,2602,2188,walking
113,41.1404185646118,-8.613805075155247,1514,1355,walking
114,41.1404185646118,-8.613805075155247,1973,1692,walking
115,41.1404185646118,-8.613805075155247,2300,1936,walking
116,41.1404185646118,-8.613805075155247,4063,3290,walking
117,41.1404185646118,-8.613805075155247,3189,2548,walking
118,41.1404185646118,-8.613805075155247,762,695,walking
119,41.1404185646118,-8.613805075155247,1144,1021,walking
120,41.1404185646118,-8.613805075155247,2146,1925,walking
121,41.1404185646118,-8.613805075155247,2701,2404,walking
122,41.1404185646118,-8.613805075155247,4378,3632,walking
123,41.1404185646118,-8.613805075155247,3336,2871,walking
124,41.1404185646118,-8.613805075155247,3974,3314,walking
125,41.1404185646118,-8.613805075155247,3111,2571,walking
126,41.140582894587105,-8.614647448494276,804,758,walking
127,41.140582894587105,-8.614647448494276,473,381,walking
128,41.140582894587105,-8.614647448494276,3929,3163,walking
129,41.140582894587105,-8.614647448494276,5060,3974,walking
130,41.140582894587105,-8.614647448494276,1537,1363,walking
131,41.140582894587105,-8.614647448494276,3092,2556,walking
